	Job Title	Salary Estimate	Job Description	Rating	Company Name	Location	Size	Founded	Type of ownership	Industry	Sector	Revenue	Compensation_and_Benefits	Culture_and_Values	Career_Opportunities	Work_Life_Balance
10	Research Scientist I - Essentia	$64K - $106K (Glassdoor est.)	"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience"	4.2	"The Lauridsen Group
2.8"	Ankeny, IA	501 to 1000 Employees	1969	Company - Public	Miscellaneous Manufacturing	Manufacturing	Unknown / Non-Applicable	3.3 	2.5 	2.7	2.7
11	Staff Data Scientist	$64K - $106K (Glassdoor est.)	"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning."	4.2	"Alteryx, Inc.
3.6"	Boston, MA	1001 to 5000 Employees	1997	Company - Public	Enterprise Software & Network Solutions	Information Technology	$100 to $500 million (USD)	4.0 	3.5 	3.8	3.6
12	Associate Scientist, R	$64K - $106K (Glassdoor est.)	"Position Summary: Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to execute complex experiments. The successful candidate will have a desire to learn and the strong attention to detail. This position will entail the synthetic chemistry of a range of compounds including developing new reagents for the synthesis, modification and capture of oligonucleotides. Additional tasks may include running automated oligonucleotide synthesizers as well as molecular biology laboratory work to support new product development.
Areas of Responsibility:
This position requires a driven individual to work closely with members of the research and development group to assist in the preparation and evaluation of novel solid supports, phosphoramidites, fluorescent dyes and/or linkers to enable new approaches to biology research. This is a hands-on research position."	4.2	"LGC Limited
3.5"	Petaluma, CA	1001 to 5000 Employees	1842	Company - Private	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	Unknown / Non-Applicable	2.8 	3.2 	3.1	3.5
13	Spark/Big Data Engineer	$64K - $106K (Glassdoor est.)	The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.	4.2	"GEICO
3.5"	Chevy Chase, MD	10000+ Employees	1936	Subsidiary or Business Segment	Insurance Carriers	Insurance	$10+ billion (USD)	4.0 	3.5 	3.8	3.1
14	Lead Data Scientist	$64K - $106K (Glassdoor est.)	"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented data science and machine learning professionals to join our dynamic modeling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy."	4.2	"ManTech International Corporation
4.2"	Portsmouth, VA	5001 to 10000 Employees	1968	Company - Public	Research & Development	Business Services	$1 to $2 billion (USD)	4.2 	4.1 	4.1	4.1
15	Data Analyst	$64K - $106K (Glassdoor est.)	"The Data Analyst will provide support to the Human Resource department and compliance by obtaining and using clinical data from multiple sources to support quality initiatives through analysis of data and preparation of reports
Qualifications: The Data Analyst must have a high school diploma (Associate or Bachelor's Degree preferred), previous related experience and /or training; or equivalent combination of education and experience. Further job requirements:
· Microsoft Excel super user possessing the ability to produce spreadsheets, graphs, pivot tables and charts
· Must be familiar with Microsoft Word and PowerPoint"	4.2	"Theradynamics
3.1"	Syosset, NY	501 to 1000 Employees	1999	Company - Private	Health Care Services & Hospitals	Health Care	Less than $1 million (USD)	2.7 	3.0 	3.2	3.1
16	Data Analyst	$64K - $106K (Glassdoor est.)	"Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates."	4.2	"MetroNet
4.5"	Evansville, IN	1001 to 5000 Employees	2005	Company - Private	Cable, Internet & Telephone Providers	Telecommunications	Unknown / Non-Applicable	4.3 	4.5 	4.3	4.4
17	Data Scientist Principal	$64K - $106K (Glassdoor est.)	"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value."	4.2	"JLG
4.1"	Hagerstown, MD	10000+ Employees	1917	Company - Public	Transportation Equipment Manufacturing	Manufacturing	$5 to $10 billion (USD)	3.9 	4.1 	3.7	3.9
18	Principal Scientist	$64K - $106K (Glassdoor est.)	"Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 125+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking."	4.2	"IsoPlexis
3.7"	Branford, CT	1 to 50 Employees	-1	Company - Private	-1	-1	Less than $1 million (USD)	3.1 	3.6 	3.9	3.1
19	Data Visualization Scientist	$64K - $106K (Glassdoor est.)	"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers."	4.2	"Johns Hopkins Applied Physics Laboratory (APL)
4.7"	Laurel, MD	5001 to 10000 Employees	1942	Nonprofit Organization	Aerospace & Defense	Aerospace & Defense	$1 to $2 billion (USD)	4.6 	4.6 	4.5	4.7
20	Senior Data Scientist	$64K - $106K (Glassdoor est.)	"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team."	4.2	"Alliant Cooperative Data Solutions
3.6"	Brewster, NY	1 to 50 Employees	2003	Company - Private	Advertising & Marketing	Business Services	$5 to $10 million (USD)	2.6 	4.0 	3.5	3.8
21	SCIENTIST - BIOPHARMACEUTICALS	$64K - $106K (Glassdoor est.)	"JOB DESCRIPTION
Company Overview

PPD is a leading global Contract Research Organization - currently operating in nearly 50 countries! At PPD we are passionate, deliberate, and driven by our purpose - to improve health. Our organization works with a diverse group of pharmaceutical companies to help bend the cost and time curve of small molecule, biologic, and vaccine product development."	4.2	"PPD
4.0"	Middleton, WI	10000+ Employees	1985	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$2 to $5 billion (USD)	3.5 	4.0 	3.7	3.8
22	Supply Chain Data Analyst	$64K - $106K (Glassdoor est.)	"Supply Chain Data Analyst
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158

Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening."	4.2	"Uline
3.6"	Pleasant Prairie, WI	5001 to 10000 Employees	1980	Company - Private	Industrial Manufacturing	Manufacturing	Unknown / Non-Applicable	4.4 	3.4 	3.2	3.0
23	Research Data Scientist	$64K - $106K (Glassdoor est.)	"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning."	4.2	"Intelligent Automation
3.8"	Rockville, MD	51 to 200 Employees	1987	Company - Private	Health, Beauty, & Fitness	Consumer Services	$25 to $50 million (USD)	3.6 	3.7 	3.4	3.3
24	CLINICAL LABORTATORY SCIENTIST	$64K - $106K (Glassdoor est.)	"Title: CLINICAL LABORATORY SCIENTIST-
A.M./P.M.
Job Code: 500285
Department/Location:
Department of
Laboratories
FLSA Status: NE
Reports to:

Location: White Plains Hospital · Lab Chemistry
Schedule: Full Time, Varied, M-F 3-10:30p W/E & HOLIDAYS"	4.2	"White Plains Hospital
3.8"	White Plains, NY	1001 to 5000 Employees	1893	Hospital	Health Care Services & Hospitals	Health Care	$100 to $500 million (USD)	3.9 	3.7 	4.0	3.5
25	Data Scientist	$64K - $106K (Glassdoor est.)	"Job Posting End Date: April 20
Unum is a company of people serving people. As one of the world's leading employee benefits providers and a Fortune 500 company, Unum's financial protection benefits help protect more than 36 million working people and their families from the financial impact of illness or injury. Unum's three distinct, but similarly focused US businesses – Unum US, Colonial Life, and Starmount Life – are each a market leader in making disability, life, accident, critical illness, dental, and vision insurance accessible in the workplace.
Headquartered in Chattanooga, Tennessee, Unum also has significant US operations in Portland, Maine, - and over 35 field offices nationwide. Colonial Life is headquartered in Columbia, South Carolina with over 40 field offices nationwide. Starmount Life is based in Baton Rouge, Louisiana, and is the dental and vision center of excellence for Unum in the US.
General Summary
This position for a developing data scientist who is excited to transform data into actionable insights and impact the business through his/her work. The role requires increasing technical expertise in the fields of computer programming, applied statistics and data manipulation; and relies on developing business knowledge. The individual will participate in project work primarily within the functional area, with direction and review by manager. The individual is expected to continuously increase business knowledge and take initiative in identifying and executing analytical approaches to support assigned projects.

Position will interface with actuaries on pricing, reserving, and risk.

Unum"	4.2	"Unum
3.8"	Portland, ME	5001 to 10000 Employees	1848	Company - Public	Insurance Carriers	Insurance	$10+ billion (USD)	4.0 	3.8 	3.7	3.7
26	Senior Data Scientist (Machine Learning)	$64K - $106K (Glassdoor est.)	"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented Senior Data Scientist to join our Dynamic Modelling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy."	4.2	"ManTech International Corporation
4.2"	Portsmouth, VA	5001 to 10000 Employees	1968	Company - Public	Research & Development	Business Services	$1 to $2 billion (USD)	4.2 	4.1 	4.1	4.1
27	Data Scientist, Medical Diagnostics	$64K - $106K (Glassdoor est.)	"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection."	4.2	"Specific Diagnostics
3.5"	Mountain View, CA	1 to 50 Employees	-1	Company - Private	-1	-1	Less than $1 million (USD)	3.8 	3.5 	3.6	3.6
28	Clinical Genetic Scientist	$64K - $106K (Glassdoor est.)	"Experience and Qualifications:
· Familiarity with and experience in molecular genetics testing methodologies.
· Familiarity with databases, tools, and resources commonly used in interpretation of genomic data.
· Excellent attention to detail; strong problem solving and decision making skills.
· Ability to work on multiple assignments concurrently within established timeframes."	4.2	SMA Medical Laboratory	Feasterville Trevose, PA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	Product Development Scientist	$64K - $106K (Glassdoor est.)	"Product Development Scientist
Zentis is Europe's number one fruit processing company and one of the leading brand manufacturers of jams, sweets and custard-based dessert. The Company's North American operations are located in Philadelphia, Pennsylvania and Plymouth, Indiana, where we produce fruit and dairy preparations for a variety of customers including yogurt, ice cream and bakery manufacturers.
The Product Development Scientist is responsible for developing new products and technologies with strategically importance to Zentis, ultimately leading to the growth and stability of the business. This is accomplished by fostering close interactions with Sales and Zentis customers to effectively manage projects and develop new business."	4.2	Zentis North America	Plymouth, IN	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	Senior Data Scientist	$95K - $150K (Glassdoor est.)	"Relocation Assistance Offered Within Country
# 99623 - Topeka, Kansas, United States

We are looking for a Senior Data Scientist who will support our cross-functional teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the efficiency of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They should have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with partners to improve business outcomes."	4.2	"Hill's Pet Nutrition
4.2"	Topeka, KS	1001 to 5000 Employees	1907	Company - Public	Consumer Products Manufacturing	Manufacturing	$2 to $5 billion (USD)	4.1 	4.4 	4.0	4.0
31	Principal Data Scientist	$95K - $150K (Glassdoor est.)	"Job Description:
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
The AI COE is seeking a Principal Data Scientist with experience in Virtual Assistants or chatbots, Natural Language Processing/text analytics, machine learning, various deep learning related technologies, predictive and prescriptive analytics."	4.2	"Fidelity Investments
4.2"	Boston, MA	10000+ Employees	1946	Company - Private	Investment Banking & Asset Management	Finance	$10+ billion (USD)	4.1 	4.3 	4.0	4.1
32	Product Development Scientist	$95K - $150K (Glassdoor est.)	"Product Development Scientist
Zentis is Europe's number one fruit processing company and one of the leading brand manufacturers of jams, sweets and custard-based dessert. The Company's North American operations are located in Philadelphia, Pennsylvania and Plymouth, Indiana, where we produce fruit and dairy preparations for a variety of customers including yogurt, ice cream and bakery manufacturers.
The Product Development Scientist is responsible for developing new products and technologies with strategically importance to Zentis, ultimately leading to the growth and stability of the business. This is accomplished by fostering close interactions with Sales and Zentis customers to effectively manage projects and develop new business."	4.2	Zentis North America	Plymouth, IN	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	Analytical Scientist	$95K - $150K (Glassdoor est.)	"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Analytical Scientist
The Analytical Scientist reports to the Associate Director"	4.2	"Catalent Pharma Solutions
3.5"	Winchester, KY	10000+ Employees	2007	Company - Public	Biotech & Pharmaceuticals	Biotech & Pharmaceuticals	$2 to $5 billion (USD)	3.5 	3.3 	3.4	2.8
